"","methods","setups","RMSE","run"
"1","True Effect",1,0.0531218772538423,1
"2","True Effect",1,0.0549058596397594,2
"3","True Effect",1,0.0852739936238384,3
"4","True Effect",1,0.0667063214174414,4
"5","True Effect",1,0.0826636209730394,5
"6","True Effect",1,0.0754959935796046,6
"7","True Effect",1,0.0634732400745627,7
"8","True Effect",1,0.07907498536294,8
"9","True Effect",1,0.0484575372148547,9
"10","True Effect",1,0.0665655920261208,10
"11","True Effect",1,0.0477437059176136,11
"12","True Effect",1,0.0847461093149193,12
"13","True Effect",1,0.0555017471052615,13
"14","True Effect",1,0.0679867568438577,14
"15","True Effect",1,0.0574758971887198,15
"16","True Effect",1,0.0700604679578277,16
"17","True Effect",1,0.0595901830655991,17
"18","True Effect",1,0.0694891994174556,18
"19","True Effect",1,0.074357543629675,19
"20","True Effect",1,0.0604429650081931,20
"21","True Effect",1,0.0566464998625934,21
"22","True Effect",1,0.0481411506753684,22
"23","True Effect",1,0.0728345164245447,23
"24","True Effect",1,0.0759364592271495,24
"25","True Effect",1,0.0765638074959324,25
"26","True Effect",1,0.0694801590258219,26
"27","True Effect",1,0.0586526547602582,27
"28","True Effect",1,0.0617848489959612,28
"29","True Effect",1,0.0677732640052619,29
"30","True Effect",1,0.0598806621155621,30
"31","True Effect",1,0.0651610032158675,31
"32","True Effect",1,0.0797271354000024,32
"33","True Effect",1,0.080005023732889,33
"34","True Effect",1,0.0605444739652385,34
"35","True Effect",1,0.0679595419769752,35
"36","True Effect",1,0.0611223233112553,36
"37","True Effect",1,0.0644542070639923,37
"38","True Effect",1,0.0461870775761599,38
"39","True Effect",1,0.0726068861295106,39
"40","True Effect",1,0.0599573981919379,40
"41","True Effect",1,0.0790001882601032,41
"42","True Effect",1,0.0643869942758448,42
"43","True Effect",1,0.0697709011502307,43
"44","True Effect",1,0.0660065337467713,44
"45","True Effect",1,0.107266286436034,45
"46","True Effect",1,0.0485187167820035,46
"47","True Effect",1,0.0536252068611574,47
"48","True Effect",1,0.0746797534787248,48
"49","True Effect",1,0.0631511219329311,49
"50","True Effect",1,0.0837888353251615,50
"51","True Effect",1,0.0657730823968441,51
"52","True Effect",1,0.0637106683621846,52
"53","True Effect",1,0.0698948159387583,53
"54","True Effect",1,0.0910619591950763,54
"55","True Effect",1,0.0550664137814988,55
"56","True Effect",1,0.0726888513597535,56
"57","True Effect",1,0.077753385006238,57
"58","True Effect",1,0.0589759857835125,58
"59","True Effect",1,0.0689780884479626,59
"60","True Effect",1,0.0907044374705736,60
"61","True Effect",1,0.0475194187167942,61
"62","True Effect",1,0.0761361609403879,62
"63","True Effect",1,0.0489562086139309,63
"64","True Effect",1,0.0520538782422603,64
"65","True Effect",1,0.0783251907127693,65
"66","True Effect",1,0.0649674541232027,66
"67","True Effect",1,0.0667961065522499,67
"68","True Effect",1,0.0559039641848649,68
"69","True Effect",1,0.0768479035934798,69
"70","True Effect",1,0.0800917097382673,70
"71","True Effect",1,0.0559773233825499,71
"72","True Effect",1,0.0835173594404612,72
"73","True Effect",1,0.0693173379339186,73
"74","True Effect",1,0.0504951106598095,74
"75","True Effect",1,0.064519900934682,75
"76","True Effect",1,0.0604571784341586,76
"77","True Effect",1,0.0526034832248404,77
"78","True Effect",1,0.058500511659784,78
"79","True Effect",1,0.096345740810042,79
"80","True Effect",1,0.064591539562722,80
"81","True Effect",1,0.0588813822955482,81
"82","True Effect",1,0.077031767190631,82
"83","True Effect",1,0.0783430714694912,83
"84","True Effect",1,0.0746358260783753,84
"85","True Effect",1,0.0465698961494713,85
"86","True Effect",1,0.0445933133769309,86
"87","True Effect",1,0.0642608023506459,87
"88","True Effect",1,0.0844599629956725,88
"89","True Effect",1,0.0677964686659901,89
"90","True Effect",1,0.075817788796481,90
"91","True Effect",1,0.0557858131049532,91
"92","True Effect",1,0.0789998639190137,92
"93","True Effect",1,0.0533119851182735,93
"94","True Effect",1,0.0828820377301131,94
"95","True Effect",1,0.0912115142086764,95
"96","True Effect",1,0.0831971420172666,96
"97","True Effect",1,0.0925292926750105,97
"98","True Effect",1,0.057871134269858,98
"99","True Effect",1,0.0901515046320879,99
"100","True Effect",1,0.0778535116000414,100
"101","True Effect",1,0.0669277893540373,101
"102","True Effect",1,0.0618580612266207,102
"103","True Effect",1,0.071972367687517,103
"104","True Effect",1,0.0652276095743224,104
"105","True Effect",1,0.100962921618585,105
"106","True Effect",1,0.0694270661223244,106
"107","True Effect",1,0.0889536135805147,107
"108","True Effect",1,0.0822886334704619,108
"109","Usual",1,0.0960809238318192,1
"110","Usual",1,0.0769976392160954,2
"111","Usual",1,0.0696144373214486,3
"112","Usual",1,0.095168143793635,4
"113","Usual",1,0.125842316195962,5
"114","Usual",1,0.0834216836742537,6
"115","Usual",1,0.103186834279607,7
"116","Usual",1,0.0759253820907346,8
"117","Usual",1,0.0670672955420923,9
"118","Usual",1,0.0600316389752456,10
"119","Usual",1,0.0898812646185066,11
"120","Usual",1,0.138527583055366,12
"121","Usual",1,0.0887652270422626,13
"122","Usual",1,0.0838494468519637,14
"123","Usual",1,0.113586004897603,15
"124","Usual",1,0.0961668736842332,16
"125","Usual",1,0.0953871345533896,17
"126","Usual",1,0.103643690960579,18
"127","Usual",1,0.0777580345050671,19
"128","Usual",1,0.106057829100573,20
"129","Usual",1,0.084590459208206,21
"130","Usual",1,0.0663767226802238,22
"131","Usual",1,0.101246020928048,23
"132","Usual",1,0.108197900268506,24
"133","Usual",1,0.133602899611153,25
"134","Usual",1,0.107383979776689,26
"135","Usual",1,0.0691763876759176,27
"136","Usual",1,0.0890657623539567,28
"137","Usual",1,0.10953177418899,29
"138","Usual",1,0.0815633681811727,30
"139","Usual",1,0.101601629406461,31
"140","Usual",1,0.0986681434892227,32
"141","Usual",1,0.0914187067437712,33
"142","Usual",1,0.0938818184529987,34
"143","Usual",1,0.0863876148323434,35
"144","Usual",1,0.104253803725857,36
"145","Usual",1,0.0757288674807559,37
"146","Usual",1,0.0644201719987713,38
"147","Usual",1,0.0889231645545446,39
"148","Usual",1,0.0842094369456433,40
"149","Usual",1,0.119344802225764,41
"150","Usual",1,0.068723013263356,42
"151","Usual",1,0.0977778353461498,43
"152","Usual",1,0.0887044067561676,44
"153","Usual",1,0.0887606443507847,45
"154","Usual",1,0.106175619519079,46
"155","Usual",1,0.112730063863659,47
"156","Usual",1,0.074398429383632,48
